acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode_feat,speechiness,tempo,valence,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,target
0.892,0.598,270000.0,0.2,0.0012699999999999999,0.1,-14.262,1.0,0.0304,83.854,0.455,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
0.20600000000000002,0.5920000000000001,175254.0,0.977,0.000103,0.0703,-3.389,1.0,0.312,126.178,0.496,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.0105,0.479,146141.0,0.7959999999999999,0.008870000000000001,0.154,-4.745,1.0,0.187,119.098,0.883,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
0.0361,0.425,190055.0,0.909,8.9e-05,0.128,-3.892,1.0,0.0628,143.988,0.27699999999999997,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7
0.0555,0.541,220887.0,0.595,0.0,0.52,-6.1770000000000005,0.0,0.11900000000000001,130.029,0.406,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7
0.332,0.7659999999999999,157600.0,0.466,0.0037799999999999995,0.379,-8.036,1.0,0.0718,145.003,0.8390000000000001,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
0.025,0.826,285160.0,0.47,0.00337,0.1,-5.487,0.0,0.0343,100.98899999999999,0.541,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
0.0147,0.8109999999999999,200680.0,0.499,2.44e-06,0.342,-7.1610000000000005,0.0,0.11800000000000001,111.016,0.466,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0008810000000000002,0.44299999999999995,156987.0,0.892,0.00134,0.14400000000000002,-3.173,0.0,0.0488,143.043,0.4920000000000001,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6
0.0721,0.82,180000.0,0.736,4.55e-05,0.13699999999999998,-8.406,1.0,0.091,123.98700000000001,0.42,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
0.0276,0.484,169286.0,0.541,0.0,0.138,-8.701,1.0,0.037000000000000005,139.981,0.13699999999999998,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7
0.516,0.621,245879.0,0.29100000000000004,0.00301,0.0786,-10.722999999999999,1.0,0.0421,129.976,0.215,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
0.00082,0.74,265107.0,0.698,0.00172,0.245,-6.8770000000000024,0.0,0.14800000000000002,96.72200000000001,0.434,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0.00592,0.546,249440.0,0.852,0.0,0.159,-2.445,1.0,0.102,112.18299999999999,0.5579999999999999,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
0.22699999999999998,0.6920000000000001,216933.0,0.711,0.0,0.12,-7.4979999999999976,0.0,0.0317,125.135,0.875,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.00648,0.342,236867.0,0.5870000000000001,0.0995,0.207,-7.273,0.0,0.0537,168.847,0.484,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6
0.0085,0.85,203720.0,0.8029999999999999,2.410000000000001e-05,0.10400000000000001,-3.2969999999999997,1.0,0.292,169.986,0.433,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0.8240000000000001,0.386,287933.0,0.247,3.24e-06,0.135,-11.925999999999998,1.0,0.0312,84.258,0.391,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
0.179,0.813,200705.0,0.6829999999999999,0.0,0.0748,-3.813,0.0,0.0285,107.95,0.6679999999999999,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.5329999999999999,0.815,268566.0,0.364,3.52e-05,0.10800000000000001,-11.158,1.0,0.375,129.937,0.32799999999999996,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
0.037000000000000005,0.7909999999999999,214847.0,0.862,2.1899999999999997e-05,0.0814,-3.24,0.0,0.11,123.994,0.5920000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
